Datetime,URL,status code,Complaints Or Feedbacks
2019-01-01 03:45:06,/,200,1
2019-01-01 03:45:36,/products/1,200,3
2019-01-01 03:45:36,/products/images/1.jpg,200,7
2019-01-01 03:47:19,/products/48,100,10
2019-01-01 03:47:19,/products/images/48.jpg,404,89
2019-01-01 03:49:42,/products/7,100,4
2019-01-01 03:49:42,/products/images/7.jpg,100,9
2019-01-01 03:53:48,/products/37,404,36
2019-01-01 03:53:48,/products/images/37.jpg,100,0
2019-01-01 03:54:39,/products/26,200,3
2019-01-01 03:54:39,/products/images/26.jpg,200,7
2019-01-01 03:56:45,/products/21,404,42
2019-01-01 03:56:45,/products/images/21.jpg,200,5
2019-01-01 04:01:00,/products/15,100,8
2019-01-01 04:01:00,/products/images/15.jpg,200,1
2019-01-01 04:04:27,/products/46,200,6
2019-01-01 04:04:27,/products/images/46.jpg,200,7
2019-01-01 08:13:52,/,200,5
2019-01-01 08:16:13,/products/13,200,5
2019-01-01 08:16:13,/products/images/13.jpg,200,6
2019-01-01 08:17:56,/products/38,200,10
2019-01-01 08:17:56,/products/images/38.jpg,100,0
2019-01-01 08:19:11,/products/25,200,10
2019-01-01 08:19:11,/products/images/25.jpg,200,9
2019-01-01 08:21:49,/products/45,100,3
2019-01-01 08:21:49,/products/images/45.jpg,200,7
2019-01-01 08:24:16,/products/45,200,2
2019-01-01 08:24:16,/products/images/45.jpg,200,4
2019-01-01 08:28:55,/products/37,200,9
2019-01-01 08:28:55,/products/images/37.jpg,200,8
2019-01-01 08:33:28,/products/36,100,2
2019-01-01 08:33:28,/products/images/36.jpg,200,6
2019-01-01 11:09:06,/,404,87
2019-01-01 11:09:42,/products/8,200,3
2019-01-01 11:09:42,/products/images/8.jpg,200,9
2019-01-01 11:11:38,/products/45,200,9
2019-01-01 11:11:38,/products/images/45.jpg,100,8
2019-01-01 11:13:13,/products/15,200,10
2019-01-01 11:13:13,/products/images/15.jpg,404,65
2019-01-01 11:13:15,/products/5,200,1
2019-01-01 11:13:15,/products/images/5.jpg,200,9
2019-01-01 11:13:54,/products/36,100,7
2019-01-01 11:13:54,/products/images/36.jpg,503,48
2019-01-01 12:18:38,/,100,2
2019-01-01 12:19:23,/products/19,100,6
2019-01-01 12:19:23,/products/images/19.jpg,200,10
2019-01-01 12:21:23,/products/37,503,88
2019-01-01 12:21:23,/products/images/37.jpg,200,5
2019-01-01 12:23:22,/products/33,200,3
2019-01-01 12:23:22,/products/images/33.jpg,200,1
2019-01-01 12:26:19,/products/14,200,7
2019-01-01 12:26:19,/products/images/14.jpg,200,10
2019-01-01 12:30:25,/products/30,100,10
2019-01-01 12:30:25,/products/images/30.jpg,200,6
2019-01-01 17:32:15,/,200,1
2019-01-01 17:36:09,/products/3,100,0
2019-01-01 17:36:09,/products/images/3.jpg,200,6
2019-01-01 17:40:42,/products/51,200,0
2019-01-01 17:40:42,/products/images/51.jpg,200,5
2019-01-01 18:48:55,/,200,9
2019-01-01 18:49:51,/products/50,200,1
2019-01-01 18:49:51,/products/images/50.jpg,200,10
2019-01-01 18:54:42,/products/10,100,1
2019-01-01 18:54:42,/products/images/10.jpg,100,1
2019-01-01 18:59:26,/products/16,200,1
2019-01-01 18:59:26,/products/images/16.jpg,200,4
2019-01-01 19:00:23,/products/29,100,10
2019-01-01 19:00:23,/products/images/29.jpg,200,4
2019-01-01 19:01:57,/products/12,100,10
2019-01-01 19:01:57,/products/images/12.jpg,100,8
2019-01-01 19:04:43,/products/4,100,10
2019-01-01 19:04:43,/products/images/4.jpg,200,6
2019-01-01 21:17:10,/,200,7
2019-01-01 21:20:05,/products/19,200,10
2019-01-01 21:20:05,/products/images/19.jpg,100,7
2019-01-01 21:21:58,/products/41,200,7
2019-01-01 21:21:58,/products/images/41.jpg,100,7
2019-01-01 21:23:32,/products/30,404,39
2019-01-01 21:23:32,/products/images/30.jpg,200,8
2019-01-02 01:22:29,/,404,47
2019-01-02 03:50:57,/,100,6
2019-01-02 03:51:35,/products/35,100,1
2019-01-02 03:51:35,/products/images/35.jpg,100,2
2019-01-02 03:53:34,/products/1,200,10
2019-01-02 03:53:34,/products/images/1.jpg,200,8
2019-01-02 05:58:37,/,200,8
2019-01-02 06:00:38,/products/30,100,1
2019-01-02 06:00:38,/products/images/30.jpg,100,5
2019-01-02 06:01:43,/products/6,200,8
2019-01-02 06:01:43,/products/images/6.jpg,200,4
2019-01-02 06:02:43,/products/21,200,1
2019-01-02 06:02:43,/products/images/21.jpg,200,10
2019-01-02 06:06:48,/products/30,200,4
2019-01-02 06:06:48,/products/images/30.jpg,503,55
2019-01-02 06:06:57,/products/33,200,5
2019-01-02 06:06:57,/products/images/33.jpg,200,5
2019-01-02 06:10:39,/products/28,200,8
2019-01-02 06:10:39,/products/images/28.jpg,100,1
2019-01-02 06:14:18,/products/37,200,4
2019-01-02 06:14:18,/products/images/37.jpg,200,6
2019-01-02 06:19:08,/products/48,200,7
2019-01-02 06:19:08,/products/images/48.jpg,200,6
2019-01-02 11:06:38,/,200,1
2019-01-02 11:09:49,/products/4,200,4
2019-01-02 11:09:49,/products/images/4.jpg,200,8
2019-01-02 11:09:52,/products/34,200,8
2019-01-02 11:09:52,/products/images/34.jpg,200,10
2019-01-02 11:14:06,/products/28,200,0
2019-01-02 11:14:06,/products/images/28.jpg,200,4
2019-01-02 11:18:05,/products/48,200,5
2019-01-02 11:18:05,/products/images/48.jpg,200,5
2019-01-02 11:22:30,/products/10,100,10
2019-01-02 11:22:30,/products/images/10.jpg,100,1
2019-01-02 11:25:26,/products/28,100,2
2019-01-02 11:25:26,/products/images/28.jpg,200,2
2019-01-02 15:29:17,/,404,84
2019-01-02 15:30:17,/products/45,200,7
2019-01-02 15:30:17,/products/images/45.jpg,404,72
2019-01-02 15:32:53,/products/45,200,6
2019-01-02 15:32:53,/products/images/45.jpg,200,3
2019-01-02 15:35:30,/products/25,200,9
2019-01-02 15:35:30,/products/images/25.jpg,200,1
2019-01-02 18:57:22,/,200,3
2019-01-02 19:02:03,/products/20,200,3
2019-01-02 19:02:03,/products/images/20.jpg,200,9
2019-01-02 19:03:16,/products/18,200,3
2019-01-02 19:03:16,/products/images/18.jpg,100,9
2019-01-02 19:05:34,/products/44,200,9
2019-01-02 19:05:34,/products/images/44.jpg,200,9
2019-01-02 19:10:24,/products/10,200,7
2019-01-02 19:10:24,/products/images/10.jpg,200,7
2019-01-02 19:14:01,/products/6,200,2
2019-01-02 19:14:01,/products/images/6.jpg,100,5
2019-01-02 19:40:05,/,200,6
2019-01-02 19:44:04,/products/12,200,5
2019-01-02 19:44:04,/products/images/12.jpg,200,5
2019-01-02 19:47:47,/products/48,404,50
2019-01-02 19:47:47,/products/images/48.jpg,200,10
2019-01-02 22:49:55,/,200,0
2019-01-02 22:53:41,/products/5,200,8
2019-01-02 22:53:41,/products/images/5.jpg,200,5
2019-01-02 22:55:04,/products/18,100,3
2019-01-02 22:55:04,/products/images/18.jpg,200,8
